id,euRoadsRelated,asiaRoadsRelated,russRoadsRelated,nameRU,wikipediaUrl,length,roadSurface,regions,nameRU (from Regions),roadType,route
M1,E30,AH6,,"Автомагистраль ""Беларусь""",http://ru.wikipedia.org/wiki/М1_(автодорога),440,асфальт,"77,50,67","Москва, Московская область, Смоленская область",магистраль,
M2,E105,,,"Автомагистраль ""Крым""",http://ru.wikipedia.org/wiki/М2_(автодорога),720,"асфальт,бетон","50,71,57,46,31","Московская область, Тульская область, Орловская область, Курская область, Белгородская область",магистраль,
M3,E101,,,"Автомагистраль ""Украина""",http://ru.wikipedia.org/wiki/М3_(автодорога),490,"асфальт,бетон","50,40,32,46","Московская область, Калужская область, Брянская область, Курская область",магистраль,
M4,"E115,E50,E592,E97",,,"Автомагистраль ""Дон""",http://ru.wikipedia.org/wiki/М4_(автодорога),1540,асфальт,"50,71,48,36,61,23,01","Московская область, Тульская область, Липецкая область, Воронежская область, Ростовская область, Краснодарский край, Республика Адыгея",магистраль,
M5,E30,"AH6,AH7",,"Автомагистраль ""Урал""",http://ru.wikipedia.org/wiki/М5_(автодорога),1880,асфальт,"50,62,13,58,73,63,56,16,02,74","Московская область, Рязанская область, Республика Мордовия, Пензенская область, Ульяновская область, Самарская область, Оренбургская область, Республика Татарстан, Республика Башкортостан, Челябинская область",магистраль,
M6,"E119,E40",AH8,,"Автомагистраль ""Каспий""",http://ru.wikipedia.org/wiki/М6_(автодорога),1380,"асфальт,бетон","50,71,62,48,68,36,34,08,30","Московская область, Тульская область, Рязанская область, Липецкая область, Тамбовская область, Воронежская область, Волгоградская область, Республика Калмыкия, Астраханская область",магистраль,
M7,"E20,E117",,,"Автомагистраль ""Волга""",http://ru.wikipedia.org/wiki/М7_(автодорога),1340,асфальт,"50,33,52,21,16,02","Московская область, Владимирская область, Нижегородская область, Чувашская республика, Республика Татарстан, Республика Башкортостан",магистраль,
M8,E115,,,"Автомагистраль ""Холмогоры""",http://ru.wikipedia.org/wiki/М8_(автодорога),1270,асфальт,"50,33,76,35,29","Московская область, Владимирская область, Ярославская область, Вологодская область, Архангельская область",магистраль,
M9,E22,,,"Автомагистраль ""Балтия""",http://ru.wikipedia.org/wiki/М9_(автодорога),610,асфальт,"50,69,60","Московская область, Тверская область, Псковская область",магистраль,
M10,E105,AH8,,"Автомагистраль ""Россия""","http://ru.wikipedia.org/wiki/М10_(автодорога,_Россия)",870,асфальт,"77,50,69,53,47,78","Москва, Московская область, Тверская область, Новгородская область, Ленинградская область, Санкт-Петербург",магистраль,
M11,E20,,,"Автомагистраль ""Нарва""",http://ru.wikipedia.org/wiki/М11_(автодорога),120,,"50,69,53,47","Московская область, Тверская область, Новгородская область, Ленинградская область",магистраль,
M18,E105,,,"Автомагистраль ""Кола""",http://ru.wikipedia.org/wiki/М18_(автодорога),1590,асфальт,"47,10,51","Ленинградская область, Республика Карелия, Мурманская область",магистраль,
M20,E95,,,"Автомагистраль ""Псков""",http://ru.wikipedia.org/wiki/М20_(автодорога),500,асфальт,"78,47,61","Санкт-Петербург, Ленинградская область, Ростовская область",магистраль,
M21,E40,AH70,,Дорога федерального значения M1,http://ru.wikipedia.org/wiki/М21_(автодорога),315,,"34,61","Волгоградская область, Ростовская область",федеральная дорога,
M29,"E50,E117,E119",AH8,,"Автомагистраль ""Кавказ""",http://ru.wikipedia.org/wiki/М29_(автодорога),1110,асфальт,"23,26,07,15,06,20,05","Краснодарский край, Ставропольский край, Кабардино-Балкарская Республика, Республика Северная Осетия — Алания, Республика Ингушетия, Чеченская республика, Республика Дагестан",магистраль,
M51,E30,AH6,,"Автомагистраль ""Байкал""",http://ru.wikipedia.org/wiki/М51_(автодорога),1530,асфальтобетон,"74,45,55,54","Челябинская область, Курганская область, Омская область, Новосибирская область",магистраль,
M52,,AH4,,"Автомагистраль ""Чуйский тракт""",http://ru.wikipedia.org/wiki/М52_(автодорога),966,асфальт,"54,22,04","Новосибирская область, Алтайский край, Республика Алтай",магистраль,
M53,,AH6,,"Автомагистраль ""Байкал""",http://ru.wikipedia.org/wiki/М53_(автодорога),1860,асфальтобетон,"54,70,42,24,38","Новосибирская область, Томская область, Кемеровская область, Красноярский край, Иркутская область",магистраль,
M54,,,,"Автомагистраль ""Енисей""",http://ru.wikipedia.org/wiki/М54_(автодорога),1063,асфальт,"24,19,17","Красноярский край, Республика Хакассия, Республика Тыва",магистраль,
M55,,AH6,,"Автомагистраль ""Байкал""",http://ru.wikipedia.org/wiki/М55_(автодорога),1110,асфальтобетон,"38,03,75","Иркутская область, Республика Бурятия, Забайкальский край",магистраль,
M56,,,,"Автомагистраль ""Лена""",http://ru.wikipedia.org/wiki/М56_(автодорога),3720,асфальт,"28,14","Амурская область, Республика Саха - Якутия",магистраль,
M58,,AH30,,"Автомагистраль ""Амур""",http://ru.wikipedia.org/wiki/М58_(автодорога),2100,асфальт,"75,28,76,27","Забайкальский край, Амурская область, Ярославская область, Хабаровский край",магистраль,
M60,,AH6,,"Автомагистраль ""Уссури""",http://ru.wikipedia.org/wiki/М60_(автодорога),760,асфальт,"27,25","Хабаровский край, Приморский край",магистраль,
A113,,,,Дорога федерального значения A113,http://ru.wikipedia.org/wiki/А113_(автодорога),294,асфальт,"33,37,44,76","Владимирская область, Ивановская область, Костромская область, Ярославская область",федеральная дорога,
A119,,,,"Автомагистраль ""Вятка""",http://ru.wikipedia.org/wiki/А119_(автодорога),872,асфальт,"21,12,43,11","Чувашская республика, Республика Марий Эл, Кировская область, Республика Коми",магистраль,
E18,,,,European Route E18,http://ru.wikipedia.org/wiki/Европейский_маршрут_E18,,,"47,78","Ленинградская область, Санкт-Петербург",европейский маршрут,
E30,,,"M1,M5,M51",European Route E30,http://ru.wikipedia.org/wiki/Европейский_маршрут_E30,,,"67,50,62,13,58,73,63,56,16,02,74,45","Смоленская область, Московская область, Рязанская область, Республика Мордовия, Пензенская область, Ульяновская область, Самарская область, Оренбургская область, Республика Татарстан, Республика Башкортостан, Челябинская область, Курганская область",европейский маршрут,
E119,,,"M6,M29",European Route E119,,,,05,Республика Дагестан,европейский маршрут,
E40,,,"M6,M21",European Route E40,http://ru.wikipedia.org/wiki/Европейский_маршрут_E40,,,"61,34,30","Ростовская область, Волгоградская область, Астраханская область",европейский маршрут,
E20,,,"M7,M11",European Route E20,http://ru.wikipedia.org/wiki/Европейский_маршрут_E20,,,"47,78","Ленинградская область, Санкт-Петербург",европейский маршрут,
E117,,,"M7,M29",European Route E117,http://ru.wikipedia.org/wiki/Европейский_маршрут_E117,,,"26,07,15","Ставропольский край, Кабардино-Балкарская Республика, Республика Северная Осетия — Алания",европейский маршрут,
E115,,,"M8,M4",European Route E115,http://ru.wikipedia.org/wiki/Европейский_маршрут_E115,,,"76,50,71,48,36,61,23","Ярославская область, Московская область, Тульская область, Липецкая область, Воронежская область, Ростовская область, Краснодарский край",европейский маршрут,
E22,,,M9,European Route E22,http://ru.wikipedia.org/wiki/Европейский_маршрут_E22,,,"60,69,50,77,33,52,21,16,18,59,66,72","Псковская область, Тверская область, Московская область, Москва, Владимирская область, Нижегородская область, Чувашская республика, Республика Татарстан, Удмуртская Республика, Пермский край, Свердловская область, Тюменская область",европейский маршрут,
E105,,,"M2,M10,M18",European Route E105,http://ru.wikipedia.org/wiki/Европейский_маршрут_E105,,,"51,10,53,47,78","Мурманская область, Республика Карелия, Новгородская область, Ленинградская область, Санкт-Петербург",европейский маршрут,
E95,,,M20,European Route E95,http://ru.wikipedia.org/wiki/Европейский_маршрут_E95,,,"78,47,60,69,50,77,71,57,46,31","Санкт-Петербург, Ленинградская область, Псковская область, Тверская область, Московская область, Москва, Тульская область, Орловская область, Курская область, Белгородская область",европейский маршрут,
