id,subjectCode,nameEN,nameRU,codeOKATO,codeKLADR,regType,codeGOST7_67_cyr,codeGOST7_67_dig,codeISO3166_lat2,codeISO3166_lat3,cbrCode,taxCodes,automobileCodes,timezoneUTC,dbPedia,wikipediaUrl,kremlinRuUrl,leaderPositionName,leaderUrl,executivePowerName,executivePowerUrl,legislativePowerName,legislativePowerUrl,federalDistrict,militaryDistrict,economicRegion,borderRegions,borderCountries,isLandlocked,closeSeas,oceanBasin,ammapKey,Pipelines,Railroads,Fedroads
01,01,Republic of Adygeya,Республика Адыгея,79000000,0100000000000,республика,РОФ-АДЫ,643-01,RU-AD,RU-ADY,ADG_R,01,01,3,http://dbpedia.org/page/Republic_of_Adygea,http://ru.wikipedia.org/wiki/%D0%90%D0%B4%D1%8B%D0%B3%D0%B5%D1%8F,http://news.kremlin.ru/by-region/AD,Президент республики,http://www.adygheya.ru/president/status/index.shtml,Правительство Республики Башкортостан,http://www.adygheya.ru,Государственный совет - Хасэ Республики Адыгея,http://gshra.ru/,Southern_Federal_District,South_Military_District,North_Caucasus_economic_region,23,,yes,,,RU_AD,,skzd,M4
02,02,Bashkortostan,Республика Башкортостан,80000000,0200000000000,республика,РОФ-БАШ,643-109,RU-BA,RU-BAS,BASH,02,"02,102",5,http://dbpedia.org/page/Bashkortostan,http://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%88%D0%BA%D0%BE%D1%80%D1%82%D0%BE%D1%81%D1%82%D0%B0%D0%BD,http://news.kremlin.ru/by-region/BA,Президент республики,http://www.presidentrb.ru/,Правительство Республики Бурятия,http://www.bashkortostan.ru/,Государственное Собрание - Курултай Республики Башкортостан,http://www.gsrb.ru/,Volga_Federal_District,Central_Military_District,Urals_economic_region,"16,18,56,59,66,74",,yes,,,RU_BA,,"gzd,yuzd","M5,M7,E30,AH6"
03,03,Buryatia,Республика Бурятия,81000000,0300000000000,республика,РОФ-БУР,643-113,RU-BU,RU-BUR,BUR_R,03,03,8,http://dbpedia.org/page/Republic_of_Buryatia,http://ru.wikipedia.org/wiki/%D0%91%D1%83%D1%80%D1%8F%D1%82%D0%B8%D1%8F,http://news.kremlin.ru/by-region/BU,Президент республики,http://president.buryatia.ru/,Правительство Республики,http://egov-buryatia.ru/,Народный Хурал Республики Бурятия,http://hural-buryatia.ru/,Siberian_Federal_District,Central_Military_District,East_Siberian_economic_region,"17,38,75",MN,yes,,,RU_BU,,"vszd,kbsh","M55,AH6"
04,04,Altai Republic,Республика Алтай,84000000,0400000000000,республика,РОФ-АЛР,643-105,RU-AL,RU-ALI,ALT_R,04,04,6,http://dbpedia.org/page/Altai_Republic,http://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%90%D0%BB%D1%82%D0%B0%D0%B9,http://news.kremlin.ru/by-region/AMU,Глава республики,http://www.gov.altai-republic.ru/modules.php?op=modload&name=Sections&file=index&req=viewarticle&artid=54&page=1,Правительство Республики Дагестан,http://www.gov.altai-republic.ru/,Государственное Собрание - Эл Курултай (Парламент) Республики Алтай,http://kurultai.altai-republic.ru/,Siberian_Federal_District,Central_Military_District,West_Siberian_economic_region,"17,19,22,42","MN,CN,KZ",yes,,,RU_AL,,,M52
05,05,Dagestan republic,Республика Дагестан,82000000,0500000000000,республика,РОФ-ДАГ,643-117,RU-DA,RU-DAG,DAG-N,05,05,3,http://dbpedia.org/page/Republic_of_Dagestan,http://ru.wikipedia.org/wiki/%D0%94%D0%B0%D0%B3%D0%B5%D1%81%D1%82%D0%B0%D0%BD,http://news.kremlin.ru/by-region/DA,Президент республики,http://president.e-dag.ru/,Правительство Республики Ингушетия,http://www.e-dag.ru/,Народное собрание Республики Дагестан,http://www.nsrd.ru/,North_Caucasian_Federal_District,South_Military_District,North_Caucasus_economic_region,"20,26,08","GE,AZ",no,Caspian_sea,,RU_DA,bakunovoros,skzd,"M29,E119,E50"
06,06,Republic of Ingushetia,Республика Ингушетия,26000000,0600000000000,республика,РОФ-ИНГ,643-121,RU-IN,RU-ING,ING_R,06,06,3,http://dbpedia.org/page/Ingushetia,http://ru.wikipedia.org/wiki/%D0%98%D0%BD%D0%B3%D1%83%D1%88%D0%B5%D1%82%D0%B8%D1%8F,http://news.kremlin.ru/by-region/IN,Президент республики,http://www.ingushetia.ru/president/index.shtml,Правительство Кабардино-Балкарской республики,http://www.ingushetia.ru/,Народное собрание Республики Ингушетия,http://www.parlamentri.ru/,North_Caucasian_Federal_District,South_Military_District,North_Caucasus_economic_region,"15,20",GE,yes,,,RU_IN,,skzd,"M29,E50"
07,07,Kabardino-Balkar Republic,Кабардино-Балкарская Республика,83000000,0700000000000,республика,РОФ-КАБ,643-125,RU-KB,RU-KAB,KB_R,07,07,3,http://dbpedia.org/page/Kabardino-Balkaria,http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B1%D0%B0%D1%80%D0%B4%D0%B8%D0%BD%D0%BE-%D0%91%D0%B0%D0%BB%D0%BA%D0%B0%D1%80%D0%B8%D1%8F,http://news.kremlin.ru/by-region/KB,Президент республики,http://www.president-kbr.ru/,Правительство Республики Калмыкия,http://www.president-kbr.ru/,Парламент Кабардино-Балкарской Республики,http://www.parlament-kbr.ru/,North_Caucasian_Federal_District,South_Military_District,North_Caucasus_economic_region,"09,26,15",GE,yes,,,RU_KB,,skzd,"M29,E117,E50"
08,08,Republic of Kalmykia,Республика Калмыкия,85000000,0800000000000,республика,РОФ-КАИ,643-129,RU-KI,RU-KAI,KALM_R,08,08,3,http://dbpedia.org/page/Kalmykia,http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BB%D0%BC%D1%8B%D0%BA%D0%B8%D1%8F,http://news.kremlin.ru/by-region/KL,Глава республики,http://glava.region08.ru/,Правительство Карачаево-Черкесской Республики ,http://gov.kalmregion.ru,Народный хурал (Парламент) республики Калмыкия,http://huralrk.ru/,Southern_Federal_District,South_Military_District,Volga_economic_region,"61,34,05,26,30",,no,Caspian_sea,,RU_KL,cpc,skzd,M6
09,09,Karachay-Cherkess Republic,Карачаево-Черкесская Республика,91000000,0900000000000,республика,РОФ-КАО,643-133,RU-KK,RU-KAO,KAR_R,09,09,3,http://dbpedia.org/page/Karachay-Cherkessia,http://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D1%87%D0%B0%D0%B5%D0%B2%D0%BE-%D0%A7%D0%B5%D1%80%D0%BA%D0%B5%D1%81%D0%B8%D1%8F,http://news.kremlin.ru/by-region/KC,Президент республики,http://www.kchr.info/president.html,Правительство Республики Карелия,http://www.kchr.info/,Народное собрание (Парламент) Карачаево-Черкесской республики,http://parlament09.ru/,North_Caucasian_Federal_District,South_Military_District,North_Caucasus_economic_region,"23,26,07",GE,yes,,,RU_KC,,skzd,
10,10,Republic of Karelia,Республика Карелия,86000000,1000000000000,республика,РОФ-КАР,643-137,RU-KL,RU-KAR,KAREL,10,10,3,http://dbpedia.org/page/Republic_of_Karelia,http://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%B0%D1%80%D0%B5%D0%BB%D0%B8%D1%8F,http://news.kremlin.ru/by-region/KR,Глава республики,http://www.gov.karelia.ru/gov/Leader/index.html,Правительство Республики Коми,http://www.gov.karelia.ru/,Законодательное собрание Республики Карелия,http://www.karelia-zs.ru/,Northwestern_Federal_District,West_Military_District,Northern_economic_region,"29,51,35,47",FI,no,White_sea,Arctic_Ocean,RU_KR,mvg,ozd,"M18,E105"
11,11,Komi Republic,Республика Коми,87000000,1100000000000,республика,РОФ-КОМ,643-141,RU-KO,RU-KOM,KOMI,11,11,3,http://dbpedia.org/page/Komi_Republic,http://ru.wikipedia.org/wiki/%D0%A0%D0%B5%D1%81%D0%BF%D1%83%D0%B1%D0%BB%D0%B8%D0%BA%D0%B0_%D0%9A%D0%BE%D0%BC%D0%B8,http://news.kremlin.ru/by-region/KO,Глава республики,http://rkomi.ru/top/glava/,Правительство Республики Марий Эл,http://www.rkomi.ru/,Государственный совет Республики Коми,http://gsrk.ru/,Northwestern_Federal_District,Central_Military_District,Northern_economic_region,"29,72,86,89,59,43,66,83",,yes,,,RU_KO,,szd,A119
12,12,Mari El Republic,Республика Марий Эл,88000000,1200000000000,республика,РОФ-МАР,643-145,RU-ME,RU-MAR,MARI,12,12,3,http://dbpedia.org/page/Mari_El,http://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%80%D0%B8%D0%B9_%D0%AD%D0%BB,http://news.kremlin.ru/by-region/ME,Президент республики,http://portal.mari.ru/president/default.aspx,Правительство Республики Мордовия,http://www.gov.mari.ru/,Государственное собрание Республики Марий Эл,http://parlament.mari.ru,Volga_Federal_District,Central_Military_District,Volga_Vyatka_economic_region,"43,16,21,52",,yes,,,RU_ME,,gzd,A119
13,13,Republic of Mordovia,Республика Мордовия,89000000,1300000000000,республика,РОФ-МОР,643-149,RU-MO,RU-MOR,MOR-R,13,13,3,http://dbpedia.org/page/Republic_of_Mordovia,http://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%80%D0%B4%D0%BE%D0%B2%D0%B8%D1%8F,http://news.kremlin.ru/by-region/MO,Глава республики,http://www.e-mordovia.ru/newsline/view/17,Правительство Республики Саха (Якутия),http://www.e-mordovia.ru,Государственное собрание Республики Мордовия,http://www.gsrm.ru/,Volga_Federal_District,Central_Military_District,Volga_Vyatka_economic_region,"52,21,73,58,62",,yes,,,RU_MO,,"gzd,kbsh,mzd","M5,E30,AH6"
14,14,Sakha (Yakutia) Republic,Республика Саха - Якутия,98000000,1400000000000,республика,РОФ-ЯКУ,643-181,RU-SA,RU-SAH,SAHA_R,14,14,9,http://dbpedia.org/page/Sakha_Republic,http://ru.wikipedia.org/wiki/%D0%AF%D0%BA%D1%83%D1%82%D0%B8%D1%8F,http://news.kremlin.ru/by-region/SA,Глава республики,https://glava.sakha.gov.ru/,Правительство Республики Северная Осетия - Алания,https://prav.sakha.gov.ru/,Государственное собрание (Ил Тумен) Республики Саха (Якутия),https://iltumen.ru/,Far_Eastern_Federal_District,Eastern_Military_District,Far_Eastern_economic_region,"79,49,27,28,75,38,24,87",,no,"Laptev_sea,East_Siberian_sea",Arctic_Ocean,RU_SA,,dvzd,M56
